Gene Target,Interacting Gene,Tissue,Enrichr Library
ADH1B,MXI1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,FOS,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCFL,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CBX3,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CHD1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH2,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH2,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH2,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTBP2,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,POLR2AphosphoS2,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,MYC,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,BHLHE40,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,eGFP-HDAC8,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,SMARCB1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,BACH1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,EZH2,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,TBP,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,KDM5B,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,MXI1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,FOS,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCFL,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CBX3,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CHD1,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
HEL-S-117,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
